nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0001700	Nancy Savoca	1959	\N	director,writer,producer	tt0107152,tt0116607,tt0101748,tt0098528
nm0001701	Devon Sawa	1978	\N	actor,director,writer	tt0138510,tt0195714,tt0112642,tt0114011
nm0001702	Roy Scheider	1932	2008	actor,soundtrack,producer	tt0078754,tt0067116,tt0086837,tt0073195
nm0001703	Maximilian Schell	1930	2014	actor,director,writer	tt0120877,tt0075784,tt0120647,tt0055031
nm0001704	Vincent Schiavelli	1948	2005	actor	tt0120347,tt0083929,tt0266452,tt0099653
nm0001705	Rob Schneider	1963	\N	actor,writer,miscellaneous	tt0367652,tt0255798,tt0437863,tt0302640
nm0001706	Michael Schoeffling	1960	\N	actor	tt0088128,tt0090270,tt0103262,tt0100140
nm0001707	Paul Schrader	1946	\N	writer,director,soundtrack	tt0118564,tt6053438,tt0081398,tt0075314
nm0001708	Joel Schumacher	1939	\N	director,writer,producer	tt0134273,tt0118688,tt0183649,tt0293508
nm0001709	Til Schweiger	1963	\N	actor,producer,director	tt1700258,tt0361748,tt0119472,tt0960790
nm0001710	David Schwimmer	1966	\N	actor,director,soundtrack	tt0108778,tt0488085,tt0185906,tt0120828
nm0001711	Annabella Sciorra	1960	\N	actress,producer	tt0102175,tt0104389
nm0001712	Tracy Scoggins	1953	\N	actress,writer,producer	tt0871427,tt0149437,tt0432267,tt0088496
nm0001713	Izabella Scorupco	1970	\N	actress	tt0204313,tt0113189,tt0128378,tt0253556
nm0001714	Campbell Scott	1961	\N	actor,producer,director	tt0332285,tt0115678,tt0299117,tt1872181
nm0001715	George C. Scott	1927	1999	actor,director,producer	tt0080516,tt0054997,tt0057012,tt0066206
nm0001716	Tony Scott	1944	2012	producer,director,actor	tt0108399,tt0421054,tt0477080,tt0116277
nm0001717	Kyle Secor	1957	\N	actor,director	tt0109676,tt0106028,tt0101587,tt0102945
nm0001718	Kyra Sedgwick	1965	\N	actress,producer,soundtrack	tt1568338,tt0458253,tt0117333,tt0361127
nm0001719	George Segal	1934	\N	actor,soundtrack,producer	tt1190080,tt0070819,tt0063356,tt0061184
nm0001720	Ivan Sergei	1971	\N	actor,director,writer	tt0284718,tt0452594,tt0207889,tt0120777
nm0001721	Chloë Sevigny	1974	\N	actress,soundtrack,director	tt3068194,tt0421030,tt0171804
nm0001722	Rufus Sewell	1967	\N	actor,soundtrack	tt0183790,tt0118929,tt0443543,tt0375154
nm0001723	Tom Shadyac	1958	\N	producer,director,actor	tt0109040,tt0259288,tt0117218,tt1741225
nm0001724	Tony Shalhoub	1953	\N	actor,producer,soundtrack	tt0177789,tt1291150,tt0243133,tt0312172
nm0001725	Omar Sharif	1932	2015	actor,soundtrack,writer	tt0120657,tt0059113,tt0056172,tt0329388
nm0001726	Helen Shaver	1951	\N	actress,director,producer	tt0078767,tt0115963,tt0089015,tt0095489
nm0001727	Robert Shaw	1927	1978	actor,writer,soundtrack	tt0057076,tt0073195,tt0060665,tt0070735
nm0001728	Wallace Shawn	1943	\N	actor,writer,producer	tt0093779,tt0082783,tt0338094,tt0317705
nm0001729	Craig Sheffer	1960	\N	actor,producer,director	tt0105265,tt0100260,tt0106697,tt0107889
nm0001730	Deborah Shelton	1948	\N	actress,writer,music_department	tt0107668,tt0111191,tt0108143,tt0086984
nm0001731	Sam Shepard	1943	2017	actor,writer,soundtrack	tt0086197,tt1629705,tt1322269,tt0265086
nm0001732	Cybill Shepherd	1950	\N	actress,producer,soundtrack	tt0111932,tt0075314,tt0088571,tt0067328
nm0001733	Nicollette Sheridan	1963	\N	actress,producer,writer	tt0462229,tt0410975,tt0117723,tt0078638
nm0001734	Armin Shimerman	1949	\N	actor,writer,soundtrack	tt0106145,tt0091209,tt1094581,tt1430111
nm0001735	Talia Shire	1946	\N	actress,producer,director	tt0068646,tt0089927,tt0075148,tt0071562
nm0001736	Pauly Shore	1968	\N	actor,writer,director	tt0108186,tt0115683,tt0104187,tt0284674
nm0001737	Martin Short	1950	\N	actor,writer,producer	tt0092086,tt0452681,tt1791528,tt0093260
nm0001738	Jonathan Silverman	1966	\N	actor,miscellaneous,producer	tt0090774,tt0098627,tt0106188,tt1870372
nm0001739	Jean Simmons	1929	2010	actress,soundtrack	tt0048140,tt0054331,tt0347149,tt0046564
nm0001740	O.J. Simpson	1947	\N	actor,producer	tt0095705,tt0072308,tt0110622,tt0102510
nm0001741	Bryan Singer	1965	\N	producer,director,writer	tt0114814,tt1877832,tt0120903,tt0348150
nm0001742	Lori Singer	1957	\N	actress,soundtrack,producer	tt2111478,tt0112209,tt0087277,tt0108122
nm0001743	Marc Singer	1948	\N	actor,soundtrack,director	tt0085106,tt0083630,tt0101412,tt0086823
nm0001744	Tom Sizemore	1961	\N	actor,producer,writer	tt0199753,tt0265086,tt0113277,tt0120815
nm0001745	Stellan Skarsgård	1951	\N	actor,producer,writer	tt0848228,tt2382009,tt0119217,tt1937390
nm0001746	Ione Skye	1970	\N	actress,writer,soundtrack	tt0116141,tt0091860,tt0098258,tt0332047
nm0001747	Charles Martin Smith	1953	\N	actor,director,writer	tt0086005,tt1564349,tt0069704,tt0094226
nm0001748	Kurtwood Smith	1943	\N	actor,soundtrack	tt0165598,tt0102975,tt0115759,tt0093870
nm0001749	Maggie Smith	1934	\N	actress,soundtrack	tt1412386,tt0280707,tt0091867,tt0064840
nm0001750	Madolyn Smith Osborne	1957	\N	actress	tt0081696,tt0086837,tt0086873,tt0095188
nm0001751	Jimmy Smits	1955	\N	actor,producer	tt0200276,tt0106079,tt0121766,tt3748528
nm0001752	Steven Soderbergh	1963	\N	producer,director,cinematographer	tt0181865,tt0307479,tt0195685,tt0098724
nm0001753	P.J. Soles	1950	\N	actress,producer,camera_department	tt0083131,tt0074285,tt0079813,tt0077651
nm0001754	Todd Solondz	1959	\N	director,writer,actor	tt4144190,tt0147612,tt0808526,tt0114906
nm0001755	Suzanne Somers	1946	\N	actress,composer,producer	tt0069704,tt0101205,tt0075596,tt0092449
nm0001756	Barry Sonnenfeld	1953	\N	producer,director,cinematographer	tt0120891,tt0119654,tt0106220,tt1409024
nm0001757	Kevin Sorbo	1958	\N	actor,producer,director	tt0213327,tt0111999,tt1468387,tt2528814
nm0001758	Timothy Spall	1957	\N	actor,soundtrack,writer	tt1226271,tt0408236,tt2473794,tt0117589
nm0001759	Vincent Spano	1962	\N	actor,director,producer	tt0085208,tt0106246,tt0086216,tt0088960
